Player ID,Year,Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40,team code,Tm WS,Tm MP,EWA,Tm EWA,EWSA,ERW,Tm ERW,ERWS,Consensus Wins,CW/40
abdifa01w,2013,Farhiya Abdi,LAS,F,17,122,17,122,8.5,0.429,0.385,0,0.308,4.1,5.8,11.2,0.8,0.6,8.3,17.9,95,102,0,0.1,0.1,0.2,0.055,2013_LAS,27.3,6874,-0.14081592,22.54533333,-0.056429925,-0.048917192,24.30514653,0.004235576,0.04926855,0.016153623
abdifa01w,2014,Farhiya Abdi,LAS,F,17,142,17,142,5.7,0.463,0.443,0.159,0.068,2.6,3.9,5.7,0.4,0,11.7,16.5,90,107,0,0,0,0,-0.006,2014_LAS,17.2,6924,-0.361711443,15.76175124,-0.332215296,-0.307104647,16.79435994,-0.298785628,-0.210333641,-0.059248913
abdifa01w,2015,Farhiya Abdi,LAS,F,18,237,18,237,5.4,0.42,0.411,0.418,0.089,2.8,7.8,6.5,1.6,0.7,13.7,19.6,79,103,0,-0.4,0.1,-0.3,-0.046,2015_LAS,14.9,6320,-0.639074627,14.94169154,-0.64063806,-0.277228174,14.69748581,-0.269633892,-0.403423984,-0.068088436
abrahta01w,1997,Tajama Abraham,SAC,C,28,422,28,422,6.4,0.427,0.381,0,0.302,9.2,10,6,1.5,2.3,25.6,20.3,76,102,0,-0.6,-0.2,-0.8,-0.077,1997_SAC,4.9,5650,-0.9279801,7.658756219,-1.134032334,-0.721146902,7.170512069,-0.890732051,-0.941588128,-0.08925006
abrahta01w,1998,Tajama Abraham,DET,C,12,44,12,44,8.2,0.437,0.357,0,1.071,5.4,9.4,0,2.5,1.8,19.5,26.4,79,92,0,-0.1,0.1,0,-0.001,1998_DET,15.8,6000,-0.057353234,10.46960199,-0.018263648,-0.020517635,15.17759314,-0.015953318,-0.011405656,-0.010368778
abrossv01w,2001,Svetlana Abrosimova,MIN,F,26,846,26,846,16.5,0.491,0.425,0.262,0.449,6.6,13.2,16.4,2.9,0.9,19.4,25.4,91,93,0,0.5,1.4,2,0.092,2001_MIN,12,6475,2.390686567,6.581243781,3.098681588,2.665119289,13.25459721,2.501198171,2.533293253,0.119777459
abrossv01w,2002,Svetlana Abrosimova,MIN,F,27,805,27,805,12.6,0.428,0.408,0.19,0.367,7.9,12.5,18,3.1,1.1,20,28.9,81,95,0,-1.6,1.4,-0.2,-0.008,2002_MIN,11.9,6475,0.712885572,7.168557214,1.301119,0.80014988,12.36113307,0.742819823,0.614646274,0.03054143
abrossv01w,2003,Svetlana Abrosimova,MIN,F,30,792,30,792,15.8,0.485,0.437,0.288,0.344,7.5,11.8,20.8,3.2,1.2,21.5,25.7,92,97,0,0.4,1.1,1.5,0.076,2003_MIN,18.1,6850,1.962268657,15.21547264,2.295778974,1.832724545,17.32155691,1.922728476,1.90616915,0.096271169
abrossv01w,2004,Svetlana Abrosimova,MIN,F,22,462,22,462,13,0.458,0.424,0.381,0.331,4.8,10.5,21.5,3.8,0.4,21.3,21.5,87,90,0,-0.2,1.1,0.9,0.079,2004_MIN,15,6850,0.501074627,6.838557214,1.051525221,1.407208136,16.20942244,1.325638331,1.09238785,0.094579035
abrossv01w,2005,Svetlana Abrosimova,MIN,F,31,777,31,777,14.4,0.493,0.455,0.297,0.264,5,9.1,17.4,3.6,0.6,20.6,24.9,89,96,0,-0.1,1.2,1.1,0.056,2005_MIN,13,6850,1.383910448,11.06492537,1.603407234,1.799896543,14.38700959,1.642567134,1.448658123,0.074576995
abrossv01w,2006,Svetlana Abrosimova,MIN,F,34,720,34,720,13.3,0.49,0.461,0.27,0.257,7.1,8.6,13.5,2.5,0.1,18.5,20.5,94,105,0,0.4,0.1,0.5,0.027,2006_MIN,8.2,6825,0.888358209,10.75338308,0.618990323,1.201519586,10.28726102,0.981325017,0.700105113,0.038894729
abrossv01w,2007,Svetlana Abrosimova,MIN,F,34,843,34,843,17.4,0.544,0.518,0.339,0.144,7.2,10.6,18.3,2.7,0.4,17.7,19.5,104,102,0,1.9,0.6,2.4,0.115,2007_MIN,12.3,6874,2.759671642,12.32612935,2.756467242,2.956346316,13.48336647,2.811222963,2.655896735,0.126021197
abrossv01w,2008,Svetlana Abrosimova,CON,F,6,107,6,107,10.6,0.412,0.333,0.333,0.333,3.2,10.5,18.6,3.9,0,21,21.7,82,91,0,-0.2,0.2,0.1,0.036,2008_CON,23.5,6851,-0.011711443,17.58352239,0.080693039,0.253566945,21.61722475,0.282972426,0.154555155,0.057777628
abrossv01w,2010,Svetlana Abrosimova,SEA,F,34,686,34,686,13,0.507,0.496,0.432,0.188,4.4,9.3,17.4,3.1,0.4,19.4,20.7,97,97,0,0.4,1.4,1.8,0.102,2010_SEA,29.6,6899,0.7440199,19.59528358,1.738835883,1.877201051,25.59135086,2.275799879,1.93821192,0.113015272
abrossv01w,2012,Svetlana Abrosimova,SEA,F,19,329,19,329,6.9,0.401,0.388,0.367,0.245,4.5,10.4,17.6,3.3,0.8,26.9,21.7,71,93,0,-1.2,0.8,-0.4,-0.054,2012_SEA,16.3,6826,-0.641631841,7.575114428,-0.221109228,0.127016966,16.53780523,0.115555214,-0.168518005,-0.020488511
achonna01w,2015,Natalie Achonwa,IND,F,28,484,28,484,18.9,0.594,0.55,0,0.394,9.8,12.4,7,1.5,2.2,16.5,21,109,100,0,1.4,0.6,2,0.162,2015_IND,20.3,6852,1.945631841,14.63341294,2.345898645,1.227203059,19.07243116,1.313913993,1.886604212,0.155917704
achonna01w,2016,Natalie Achonwa,IND,F,24,195,24,195,17,0.575,0.545,0,0.303,10.4,15.6,5.7,2.7,0.4,13.8,20.2,108,102,0,0.4,0.3,0.6,0.13,2016_IND,16.9,6849,0.599552239,13.33702488,0.700994807,0.446246645,16.58799271,0.455129901,0.585374903,0.120076903
achonna01w,2017,Natalie Achonwa,IND,F,34,623,34,623,16.2,0.597,0.557,0,0.335,7.1,13,7.4,1.2,2.3,13.3,17.4,112,109,0,1.4,0.2,1.6,0.102,2017_IND,4.7,6849,1.667532338,7.473293532,1.415267501,1.024023328,7.158224271,0.800417879,1.271895127,0.081662608
achonna01w,2018,Natalie Achonwa,IND,F,34,883,34,883,18.7,0.58,0.527,0,0.365,10.6,15.4,9.4,1.7,2.2,11.2,17.5,117,107,0,2.3,0.9,3.2,0.145,2018_IND,4.9,6900,3.461711443,6.04920398,3.314646644,2.365559589,7.146547099,2.078066678,2.864237774,0.129750296
achonna01w,2019,Natalie Achonwa,IND,F,30,636,30,636,19.3,0.562,0.495,0.059,0.325,9,14.2,13.4,1.5,2.6,11.1,18.5,116,102,0,2.1,0.6,2.7,0.173,2019_IND,12.9,6851,2.683223881,12.53735323,2.716889527,1.767181513,14.15042574,1.651100537,2.355996688,0.148175892
achonna01w,2020,Natalie Achonwa,IND,F,18,364,18,364,14.2,0.542,0.496,0.087,0.278,8.6,16.4,14.7,1.3,2.4,20.4,19.7,100,111,0,0.2,0.1,0.3,0.032,2020_IND,3.9,4401,0.612099502,6.457154229,0.400601175,-0.02574077,5.657514949,-0.171102152,0.176499674,0.019395569
achonna01w,2021,Natalie Achonwa,MIN,F,21,253,21,253,13.6,0.525,0.426,0.016,0.459,5.8,10.6,15,2.4,1.7,15.1,15.5,108,98,0,0.4,0.5,0.9,0.141,2021_MIN,20.3,6451,0.349920398,15.23979104,0.548375345,0.747775946,19.95543446,0.761289367,0.736554904,0.116451368
achonna01w,2022,Natalie Achonwa,MIN,F,22,332,22,332,16.4,0.564,0.516,0.022,0.297,9,15.7,18.3,1.4,1.9,17.6,16.8,111,105,0,0.7,0.4,1,0.124,2022_MIN,15.5,7253,0.921671642,14.43061692,0.970621757,0.864250714,16.32027973,0.826703096,0.932441618,0.112342364
adairje01w,2010,Jessica Adair,MIN,C,1,14,1,14,25.2,0.906,1,0,4,30.8,33.2,0,0,0,0,8.5,198,102,0,0.1,0,0.1,0.4,2010_MIN,12.9,6927,0.100159204,9.732467662,0.106561031,0.079073559,13.38177298,0.078099859,0.094886963,0.271105609
adairje01w,2011,Jessica Adair,MIN,C,31,321,31,321,16.9,0.53,0.485,0,0.476,16.2,16.8,4.9,1.3,5,17.8,21.1,103,95,0,0.6,0.6,1.2,0.154,2011_MIN,29,6800,0.970985075,22.05263682,1.298941484,0.734429539,25.61569737,0.894188531,1.131043338,0.14093998
adairje01w,2012,Jessica Adair,MIN,C,19,168,19,168,6.4,0.439,0.351,0,0.946,8.2,14,4.9,0.9,2,21.1,17.3,86,98,0,-0.1,0.3,0.1,0.029,2012_MIN,31.1,6876,-0.369432836,24.55302488,-0.209471838,-0.016812149,27.3531901,0.074732945,-0.011579631,-0.002757055
adamsda01w,2011,Danielle Adams,SAS,F-C,23,480,23,480,20.2,0.547,0.507,0.435,0.309,8.4,12,5.4,1.3,2.5,9.4,27.7,104,98,0,1.2,0.8,1.9,0.159,2011_SAS,19.8,6851,2.24,15.30168159,2.555164624,1.336846971,19.3448489,1.368736115,1.941300246,0.161775021
adamsda01w,2012,Danielle Adams,SAS,F-C,34,686,34,686,22,0.547,0.5,0.35,0.338,10.4,13.7,8.9,1.8,2.8,10.3,27.1,110,100,0,2.5,0.9,3.3,0.195,2012_SAS,24.4,6850,3.815661692,22.56318408,3.999611432,2.238857255,22.47886131,2.431251582,3.243621005,0.18913242
adamsda01w,2013,Danielle Adams,SAS,F-C,34,899,34,899,19,0.525,0.479,0.323,0.376,6.4,10.5,9.6,1.7,2.2,11.6,26.6,102,103,0,2,0.5,2.5,0.109,2013_SAS,8.8,6823,3.658616915,11.0520597,3.361885027,1.380343955,10.76760204,1.121092272,2.3276591,0.10356659
